opcode_hex	opcode_dec	enum	name	handler_va	handler_fn
0x2B3	691	GameEvent	Admin_QueryPluginResponse2	0x0055C0ED	CM_Admin::DispatchUI_Recv_QueryPluginResponse
0x2B4	692	GameEvent	Inventory_SalvageOperationsResultData	0x0055C2E5	CM_Inventory::DispatchUI_Recv_SalvageOperationsResultData
0x2B8	696	S2CMessage	Qualities_PrivateRemoveInt64Event	0x0055C451	CM_Qualities::DispatchUI_PrivateRemoveInt64Event
0x2B9	697	S2CMessage	Qualities_RemoveInt64Event	0x0055C4C1	CM_Qualities::DispatchUI_RemoveInt64Event
0x2BB	699	S2CMessage	Communication_HearSpeech	0x0055C179	CM_Communication::DispatchUI_HearSpeech
0x2BC	700	S2CMessage	Communication_HearRangedSpeech	0x0055C15D	CM_Communication::DispatchUI_HearRangedSpeech
0x2BD	701	GameEvent	Communication_HearDirectSpeech	0x0055C141	CM_Communication::DispatchUI_HearDirectSpeech
0x2BE	702	GameEvent	Fellowship_FullUpdate	0x0055C205	CM_Fellowship::DispatchUI_FullUpdate
0x2BF	703	GameEvent	Fellowship_Disband	0x0055C1E9	CM_Fellowship::DispatchUI_Disband
0x2C0	704	GameEvent	Fellowship_UpdateFellow	0x0055C221	CM_Fellowship::DispatchUI_UpdateFellow
0x2C1	705	GameEvent	Magic_UpdateSpell	0x0055C3C5	CM_Magic::DispatchUI_UpdateSpell
0x2C2	706	GameEvent	Magic_UpdateEnchantment	0x0055C38D	CM_Magic::DispatchUI_UpdateEnchantment
0x2C3	707	GameEvent	Magic_RemoveEnchantment	0x0055C355	CM_Magic::DispatchUI_RemoveEnchantment
0x2C4	708	GameEvent	Magic_UpdateMultipleEnchantments	0x0055C3A9	CM_Magic::DispatchUI_UpdateMultipleEnchantments
0x2C5	709	GameEvent	Magic_RemoveMultipleEnchantments	0x0055C371	CM_Magic::DispatchUI_RemoveMultipleEnchantments
0x2C6	710	GameEvent	Magic_PurgeEnchantments	0x0055C339	CM_Magic::DispatchUI_PurgeEnchantments
0x2C7	711	GameEvent	Magic_DispelEnchantment	0x0055C301	CM_Magic::DispatchUI_DispelEnchantment
0x2C8	712	GameEvent	Magic_DispelMultipleEnchantments	0x0055C31D	CM_Magic::DispatchUI_DispelMultipleEnchantments
0x2C9	713	GameEvent	Misc_PortalStormBrewing	0x0055C3FD	CM_Misc::DispatchUI_PortalStormBrewing
0x2CA	714	GameEvent	Misc_PortalStormImminent	0x0055C419	CM_Misc::DispatchUI_PortalStormImminent
0x2CB	715	GameEvent	Misc_PortalStorm	0x0055C3E1	CM_Misc::DispatchUI_PortalStorm
0x2CC	716	GameEvent	Misc_PortalStormSubsided	0x0055C435	CM_Misc::DispatchUI_PortalStormSubsided
0x2CD	717	S2CMessage	Qualities_PrivateUpdateInt	0x0055C489	CM_Qualities::DispatchUI_PrivateUpdateInt
0x2CE	718	S2CMessage	Qualities_UpdateInt	0x0055C4F9	CM_Qualities::DispatchUI_UpdateInt
0x2CF	719	S2CMessage	Qualities_PrivateUpdateInt64	0x0055C4A5	CM_Qualities::DispatchUI_PrivateUpdateInt64
0x2D0	720	S2CMessage	Qualities_UpdateInt64	0x0055C515	CM_Qualities::DispatchUI_UpdateInt64
